id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
71609,Villa in Singapore · ★4.44 · 2 bedrooms · 3 beds · 1 private bath,367042,Belinda,East Region,Tampines,1.34537,103.95887,Private room,150,92,20,2020-01-17,0.14,5,89,0,
71896,Home in Singapore · ★4.16 · 1 bedroom · 1 bed · Shared half-bath,367042,Belinda,East Region,Tampines,1.34754,103.95958,Private room,80,92,24,2019-10-13,0.16,5,89,0,
71903,Home in Singapore · ★4.41 · 1 bedroom · 2 beds · Shared half-bath,367042,Belinda,East Region,Tampines,1.34531,103.961,Private room,80,92,47,2020-01-09,0.31,5,89,0,
275343,Rental unit in Singapore · ★4.40 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,Central Region,Bukit Merah,1.29015,103.80814,Private room,55,60,22,2022-08-13,0.17,52,275,0,S0399
275344,Rental unit in Singapore · ★4.27 · 1 bedroom · 1 bed · 2.5 shared baths,1439258,Kay,Central Region,Bukit Merah,1.28836,103.81144,Private room,69,60,17,2023-08-16,0.12,52,274,3,S0399
289234,Home in Singapore · ★4.83 · 3 bedrooms · 5 beds · 3 baths,367042,Belinda,East Region,Tampines,1.3449,103.95979,Private room,220,92,12,2019-01-01,0.09,5,89,0,
294281,Rental unit in Singapore · ★4.43 · 2 bedrooms · 1 bed · 1 shared bath,1521514,Elizabeth,Central Region,Newton,1.31142,103.83924,Private room,85,92,133,2020-01-21,0.94,7,365,0,
324945,Rental unit in Singapore · ★3.50 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,Central Region,Bukit Merah,1.28828,103.8102,Private room,75,60,18,2023-09-01,0.13,52,365,1,S0399
330095,Rental unit in Singapore · ★3.80 · 1 bedroom · 1 bed · 2 shared baths,1439258,Kay,Central Region,Bukit Merah,1.28636,103.81138,Private room,45,60,6,2023-09-02,0.05,52,365,3,S0399
369141,Place to stay in Singapore · ★4.43 · 1 bedroom · 1 bed · 1 bath,1521514,Elizabeth,Central Region,Newton,1.31144,103.83784,Private room,79,92,81,2020-01-04,0.67,7,365,0,
369145,Townhouse in Singapore · ★4.39 · 2 bedrooms · 1 bed · 1 shared bath,1521514,Elizabeth,Central Region,Newton,1.31129,103.83788,Private room,70,92,165,2020-01-10,1.18,7,365,0,
395191,Rental unit in Singapore · ★4.31 · 1 bedroom · 1 bed · 0 baths,1975201,Adi,Central Region,River Valley,1.29335,103.83768,Private room,100,93,27,2017-08-07,0.22,1,84,0,
